Product_Name_Website1,Product_Price_Website1,Product_Rating_Website1,Product_URL,Website_Name_Website1,Date_Scraped_Website1,Match_Name,Product_Name_Website2,Product_Price_Website2,Product_Rating_Website2,Website_Name_Website2,Date_Scraped_Website2,Price_Difference,Cheaper_Website
Abominable Hoodie,69.0,,https://www.scrapingcourse.com/ecommerce/product/abominable-hoodie/,ScrapingCourse,2026-09-04,abominable hoodie,Abominable Hoodie,52.0,5.0,Barn2,2026-09-04,17.0,Barn2
Adrienne Trek Jacket,57.0,,https://www.scrapingcourse.com/ecommerce/product/adrienne-trek-jacket/,ScrapingCourse,2026-09-04,adrienne trek jacket,Adrienne Trek Jacket,34.0,4.0,Barn2,2026-09-04,23.0,Barn2
Aeon Capri,48.0,,https://www.scrapingcourse.com/ecommerce/product/aeon-capri/,ScrapingCourse,2026-09-04,aeon capri,Aeon Capri,63.0,5.0,Barn2,2026-09-04,-15.0,ScrapingCourse
Aero Daily Fitness Tee,24.0,,https://www.scrapingcourse.com/ecommerce/product/aero-daily-fitness-tee/,ScrapingCourse,2026-09-04,aero daily fitness tee,Aero Daily Fitness Tee,24.0,5.0,Barn2,2026-09-04,0.0,Same Price
Aether Gym Pant,74.0,,https://www.scrapingcourse.com/ecommerce/product/aether-gym-pant/,ScrapingCourse,2026-09-04,aether gym pant,Aether Gym Pant,74.0,5.0,Barn2,2026-09-04,0.0,Same Price
Affirm Water Bottle,7.0,,https://www.scrapingcourse.com/ecommerce/product/affirm-water-bottle/,ScrapingCourse,2026-09-04,affirm water bottle,Affirm Water Bottle,7.0,,Barn2,2026-09-04,0.0,Same Price
Aim Analog Watch,45.0,,https://www.scrapingcourse.com/ecommerce/product/aim-analog-watch/,ScrapingCourse,2026-09-04,aim analog watch,Aim Analog Watch,45.0,,Barn2,2026-09-04,0.0,Same Price
Ajax Full-Zip Sweatshirt,69.0,,https://www.scrapingcourse.com/ecommerce/product/ajax-full-zip-sweatshirt/,ScrapingCourse,2026-09-04,ajax full-zip sweatshirt,Ajax Full-Zip Sweatshirt,69.0,,Barn2,2026-09-04,0.0,Same Price
Ana Running Short,40.0,,https://www.scrapingcourse.com/ecommerce/product/ana-running-short/,ScrapingCourse,2026-09-04,ana running short,Ana Running Short,40.0,,Barn2,2026-09-04,0.0,Same Price
Angel Light Running Short,42.0,,https://www.scrapingcourse.com/ecommerce/product/angel-light-running-short/,ScrapingCourse,2026-09-04,angel light running short,Angel Light Running Short,42.0,,Barn2,2026-09-04,0.0,Same Price
Antonia Racer Tank,34.0,,https://www.scrapingcourse.com/ecommerce/product/antonia-racer-tank/,ScrapingCourse,2026-09-04,antonia racer tank,Antonia Racer Tank,52.0,5.0,Barn2,2026-09-04,-18.0,ScrapingCourse
Apollo Running Short,32.5,,https://www.scrapingcourse.com/ecommerce/product/apollo-running-short/,ScrapingCourse,2026-09-04,apollo running short,Apollo Running Short,32.5,,Barn2,2026-09-04,0.0,Same Price
Arcadio Gym Short,20.0,,https://www.scrapingcourse.com/ecommerce/product/arcadio-gym-short/,ScrapingCourse,2026-09-04,arcadio gym short,Arcadio Gym Short,20.0,,Barn2,2026-09-04,0.0,Same Price
Argus All-Weather Tank,22.0,,https://www.scrapingcourse.com/ecommerce/product/argus-all-weather-tank/,ScrapingCourse,2026-09-04,argus all-weather tank,Argus All-Weather Tank,22.0,,Barn2,2026-09-04,0.0,Same Price
Ariel Roll Sleeve Sweatshirt,39.0,,https://www.scrapingcourse.com/ecommerce/product/ariel-roll-sleeve-sweatshirt/,ScrapingCourse,2026-09-04,ariel roll sleeve sweatshirt,Ariel Roll Sleeve Sweatshirt,39.0,4.0,Barn2,2026-09-04,0.0,Same Price
Artemis Running Short,45.0,,https://www.scrapingcourse.com/ecommerce/product/artemis-running-short/,ScrapingCourse,2026-09-04,artemis running short,Artemis Running Short,45.0,,Barn2,2026-09-04,0.0,Same Price
Atlas Fitness Tank,18.0,,https://www.scrapingcourse.com/ecommerce/product/atlas-fitness-tank/,ScrapingCourse,2026-09-04,atlas fitness tank,Atlas Fitness Tank,18.0,,Barn2,2026-09-04,0.0,Same Price
Atomic Endurance Running Tee (Crew-Neck),29.0,,https://www.scrapingcourse.com/ecommerce/product/atomic-endurance-running-tee-crew-neck/,ScrapingCourse,2026-09-04,atomic endurance running tee (crew-neck),Atomic Endurance Running Tee (Crew-Neck),29.0,,Barn2,2026-09-04,0.0,Same Price
Atomic Endurance Running Tee (V-neck),28.0,,https://www.scrapingcourse.com/ecommerce/product/atomic-endurance-running-tee-v-neck/,ScrapingCourse,2026-09-04,atomic endurance running tee (v-neck),Atomic Endurance Running Tee (V-neck),28.0,,Barn2,2026-09-04,0.0,Same Price
Augusta Pullover Jacket,57.0,,https://www.scrapingcourse.com/ecommerce/product/augusta-pullover-jacket/,ScrapingCourse,2026-09-04,augusta pullover jacket,Augusta Pullover Jacket,57.0,,Barn2,2026-09-04,0.0,Same Price
Autumn Pullie,57.0,,https://www.scrapingcourse.com/ecommerce/product/autumn-pullie/,ScrapingCourse,2026-09-04,autumn pullie,Autumn Pullie,57.0,,Barn2,2026-09-04,0.0,Same Price
Balboa Persistence Tee,29.0,,https://www.scrapingcourse.com/ecommerce/product/balboa-persistence-tee/,ScrapingCourse,2026-09-04,balboa persistence tee,Balboa Persistence Tee,29.0,4.0,Barn2,2026-09-04,0.0,Same Price
Bardot Capri,48.0,,https://www.scrapingcourse.com/ecommerce/product/bardot-capri/,ScrapingCourse,2026-09-04,bardot capri,Bardot Capri,48.0,,Barn2,2026-09-04,0.0,Same Price
Beaumont Summit Kit,42.0,,https://www.scrapingcourse.com/ecommerce/product/beaumont-summit-kit/,ScrapingCourse,2026-09-04,beaumont summit kit,Beaumont Summit Kit,42.0,5.0,Barn2,2026-09-04,0.0,Same Price
Bella Tank,29.0,,https://www.scrapingcourse.com/ecommerce/product/bella-tank/,ScrapingCourse,2026-09-04,bella tank,Bella Tank,29.0,,Barn2,2026-09-04,0.0,Same Price
Bess Yoga Short,28.0,,https://www.scrapingcourse.com/ecommerce/product/bess-yoga-short/,ScrapingCourse,2026-09-04,bess yoga short,Bess Yoga Short,28.0,,Barn2,2026-09-04,0.0,Same Price
Bolo Sport Watch,49.0,,https://www.scrapingcourse.com/ecommerce/product/bolo-sport-watch/,ScrapingCourse,2026-09-04,bolo sport watch,Bolo Sport Watch,49.0,5.0,Barn2,2026-09-04,0.0,Same Price
Breathe-Easy Tank,34.0,,https://www.scrapingcourse.com/ecommerce/product/breathe-easy-tank/,ScrapingCourse,2026-09-04,breathe-easy tank,Breathe-Easy Tank,34.0,,Barn2,2026-09-04,0.0,Same Price
Bruno Compete Hoodie,63.0,,https://www.scrapingcourse.com/ecommerce/product/bruno-compete-hoodie/,ScrapingCourse,2026-09-04,bruno compete hoodie,Bruno Compete Hoodie,63.0,5.0,Barn2,2026-09-04,0.0,Same Price
Caesar Warm-Up Pant,35.0,,https://www.scrapingcourse.com/ecommerce/product/caesar-warm-up-pant/,ScrapingCourse,2026-09-04,caesar warm-up pant,Caesar Warm-Up Pant,35.0,5.0,Barn2,2026-09-04,0.0,Same Price
Carina Basic Capri,51.0,,https://www.scrapingcourse.com/ecommerce/product/carina-basic-capri/,ScrapingCourse,2026-09-04,carina basic capri,Carina Basic Capri,51.0,,Barn2,2026-09-04,0.0,Same Price
Cassia Funnel Sweatshirt,48.0,,https://www.scrapingcourse.com/ecommerce/product/cassia-funnel-sweatshirt/,ScrapingCourse,2026-09-04,cassia funnel sweatshirt,Cassia Funnel Sweatshirt,48.0,,Barn2,2026-09-04,0.0,Same Price
Cassius Sparring Tank,18.0,,https://www.scrapingcourse.com/ecommerce/product/cassius-sparring-tank/,ScrapingCourse,2026-09-04,cassius sparring tank,Cassius Sparring Tank,18.0,,Barn2,2026-09-04,0.0,Same Price
Celeste Sports Bra,39.0,,https://www.scrapingcourse.com/ecommerce/product/celeste-sports-bra/,ScrapingCourse,2026-09-04,celeste sports bra,Celeste Sports Bra,39.0,5.0,Barn2,2026-09-04,0.0,Same Price
Chaz Kangeroo Hoodie,52.0,,https://www.scrapingcourse.com/ecommerce/product/chaz-kangeroo-hoodie/,ScrapingCourse,2026-09-04,chaz kangeroo hoodie,Chaz Kangeroo Hoodie,69.0,5.0,Barn2,2026-09-04,-17.0,ScrapingCourse
Chloe Compete Tank,39.0,,https://www.scrapingcourse.com/ecommerce/product/chloe-compete-tank/,ScrapingCourse,2026-09-04,chloe compete tank,Chloe Compete Tank,39.0,,Barn2,2026-09-04,0.0,Same Price
Circe Hooded Ice Fleece,68.0,,https://www.scrapingcourse.com/ecommerce/product/circe-hooded-ice-fleece/,ScrapingCourse,2026-09-04,circe hooded ice fleece,Circe Hooded Ice Fleece,68.0,5.0,Barn2,2026-09-04,0.0,Same Price
Clamber Watch,54.0,,https://www.scrapingcourse.com/ecommerce/product/clamber-watch/,ScrapingCourse,2026-09-04,clamber watch,Clamber Watch,54.0,,Barn2,2026-09-04,0.0,Same Price
Cobalt CoolTech™ Fitness Short,44.0,,https://www.scrapingcourse.com/ecommerce/product/cobalt-cooltech-fitness-short/,ScrapingCourse,2026-09-04,cobalt cooltech™ fitness short,Cobalt CoolTech™ Fitness Short,44.0,4.0,Barn2,2026-09-04,0.0,Same Price
Compete Track Tote,32.0,,https://www.scrapingcourse.com/ecommerce/product/compete-track-tote/,ScrapingCourse,2026-09-04,compete track tote,Compete Track Tote,32.0,4.0,Barn2,2026-09-04,0.0,Same Price
Cora Parachute Pant,75.0,,https://www.scrapingcourse.com/ecommerce/product/cora-parachute-pant/,ScrapingCourse,2026-09-04,cora parachute pant,Cora Parachute Pant,75.0,5.0,Barn2,2026-09-04,0.0,Same Price
Cronus Yoga Pant,48.0,,https://www.scrapingcourse.com/ecommerce/product/cronus-yoga-pant/,ScrapingCourse,2026-09-04,cronus yoga pant,Cronus Yoga Pant,48.0,,Barn2,2026-09-04,0.0,Same Price
Crown Summit Backpack,38.0,,https://www.scrapingcourse.com/ecommerce/product/crown-summit-backpack/,ScrapingCourse,2026-09-04,crown summit backpack,Crown Summit Backpack,38.0,,Barn2,2026-09-04,0.0,Same Price
Cruise Dual Analog Watch,55.0,,https://www.scrapingcourse.com/ecommerce/product/cruise-dual-analog-watch/,ScrapingCourse,2026-09-04,cruise dual analog watch,Cruise Dual Analog Watch,55.0,,Barn2,2026-09-04,0.0,Same Price
Daphne Full-Zip Hoodie,59.0,,https://www.scrapingcourse.com/ecommerce/product/daphne-full-zip-hoodie/,ScrapingCourse,2026-09-04,daphne full-zip hoodie,Daphne Full-Zip Hoodie,59.0,,Barn2,2026-09-04,0.0,Same Price
Daria Bikram Pant,51.0,,https://www.scrapingcourse.com/ecommerce/product/daria-bikram-pant/,ScrapingCourse,2026-09-04,daria bikram pant,Daria Bikram Pant,51.0,,Barn2,2026-09-04,0.0,Same Price
Dash Digital Watch,92.0,,https://www.scrapingcourse.com/ecommerce/product/dash-digital-watch/,ScrapingCourse,2026-09-04,dash digital watch,Dash Digital Watch,92.0,,Barn2,2026-09-04,0.0,Same Price
Deirdre Relaxed-Fit Capri,63.0,,https://www.scrapingcourse.com/ecommerce/product/deirdre-relaxed-fit-capri/,ScrapingCourse,2026-09-04,deirdre relaxed-fit capri,Deirdre Relaxed-Fit Capri,48.0,,Barn2,2026-09-04,15.0,Barn2
Desiree Fitness Tee,24.0,,https://www.scrapingcourse.com/ecommerce/product/desiree-fitness-tee/,ScrapingCourse,2026-09-04,desiree fitness tee,Desiree Fitness Tee,24.0,,Barn2,2026-09-04,0.0,Same Price
Diana Tights,59.0,,https://www.scrapingcourse.com/ecommerce/product/diana-tights/,ScrapingCourse,2026-09-04,diana tights,Diana Tights,59.0,,Barn2,2026-09-04,0.0,Same Price
Didi Sport Watch,92.0,,https://www.scrapingcourse.com/ecommerce/product/didi-sport-watch/,ScrapingCourse,2026-09-04,didi sport watch,Didi Sport Watch,92.0,,Barn2,2026-09-04,0.0,Same Price
Diva Gym Tee,32.0,,https://www.scrapingcourse.com/ecommerce/product/diva-gym-tee/,ScrapingCourse,2026-09-04,diva gym tee,Diva Gym Tee,32.0,,Barn2,2026-09-04,0.0,Same Price
Driven Backpack,36.0,,https://www.scrapingcourse.com/ecommerce/product/driven-backpack/,ScrapingCourse,2026-09-04,driven backpack,Driven Backpack,36.0,,Barn2,2026-09-04,0.0,Same Price
Dual Handle Cardio Ball,12.0,,https://www.scrapingcourse.com/ecommerce/product/dual-handle-cardio-ball/,ScrapingCourse,2026-09-04,dual handle cardio ball,Dual Handle Cardio Ball,12.0,,Barn2,2026-09-04,0.0,Same Price
Echo Fit Compression Short,24.0,,https://www.scrapingcourse.com/ecommerce/product/echo-fit-compression-short/,ScrapingCourse,2026-09-04,echo fit compression short,Echo Fit Compression Short,24.0,,Barn2,2026-09-04,0.0,Same Price
Electra Bra Top,39.0,,https://www.scrapingcourse.com/ecommerce/product/electra-bra-top/,ScrapingCourse,2026-09-04,electra bra top,Electra Bra Top,39.0,,Barn2,2026-09-04,0.0,Same Price
Elisa EverCool™ Tee,29.0,,https://www.scrapingcourse.com/ecommerce/product/elisa-evercool-tee/,ScrapingCourse,2026-09-04,elisa evercool™ tee,Elisa EverCool™ Tee,29.0,,Barn2,2026-09-04,0.0,Same Price
Endeavor Daytrip Backpack,33.0,,https://www.scrapingcourse.com/ecommerce/product/endeavor-daytrip-backpack/,ScrapingCourse,2026-09-04,endeavor daytrip backpack,Endeavor Daytrip Backpack,33.0,,Barn2,2026-09-04,0.0,Same Price
