Product_ID,Product_Name,Product_Price,Original_Price,Discount,Product_Rating,Number_of_Reviews,Brand,Category,Availability,SKU,Product_URL,Website_Name,Date_Scraped
1,Lightweight Probiotics,155.62,,,4.0,,SoundWave,Health,In Stock,SKU-HEA-0001,https://scrapingsandbox.com/product/1,Scraping Sandbox,2026-09-03
2,Wireless LED Desk Lamp,145.4,,,4.6,,SoundWave,Electronics,Out of Stock,SKU-ELE-0002,https://scrapingsandbox.com/product/2,Scraping Sandbox,2026-09-03
3,Deluxe Tea Collection,185.01,,,3.5,,StyleCraft,Food & Beverage,In Stock,SKU-FOO-0003,https://scrapingsandbox.com/product/3,Scraping Sandbox,2026-09-03
4,Essential Tire Gauge,70.86,,,3.6,,TechVault,Automotive,Out of Stock,SKU-AUT-0004,https://scrapingsandbox.com/product/4,Scraping Sandbox,2026-09-03
5,Smart Carving Tools,97.13,,,3.5,,SparkleBox,Art,In Stock,SKU-ART-0005,https://scrapingsandbox.com/product/5,Scraping Sandbox,2026-09-03
6,Professional Dog Food,145.4,,,4.6,,StyleCraft,Pet Supplies,In Stock,SKU-PET-0006,https://scrapingsandbox.com/product/6,Scraping Sandbox,2026-09-03
7,Smart Car Wash Kit,139.94,,,3.0,,UrbanThread,Automotive,In Stock,SKU-AUT-0007,https://scrapingsandbox.com/product/7,Scraping Sandbox,2026-09-03
8,Premium Bluetooth Speaker,108.99,,,4.5,,AutoParts Pro,Electronics,In Stock,SKU-ELE-0008,https://scrapingsandbox.com/product/8,Scraping Sandbox,2026-09-03
9,Vintage Tablet Stand,44.15,,,3.4,,GlowUp,Electronics,In Stock,SKU-ELE-0009,https://scrapingsandbox.com/product/9,Scraping Sandbox,2026-09-03
10,Portable Marker Pack,193.91,,,4.2,,VitalLife,Art,In Stock,SKU-ART-0010,https://scrapingsandbox.com/product/10,Scraping Sandbox,2026-09-03
11,Professional Brush Kit,55.29,,,3.6,,AutoParts Pro,Art,Out of Stock,SKU-ART-0011,https://scrapingsandbox.com/product/11,Scraping Sandbox,2026-09-03
12,Smart Play Dough,123.5,,,3.5,,AutoParts Pro,Toys,In Stock,SKU-TOY-0012,https://scrapingsandbox.com/product/12,Scraping Sandbox,2026-09-03
13,Premium Vinyl Record,69.22,,,4.5,,DeskMate,Music,In Stock,SKU-MUS-0013,https://scrapingsandbox.com/product/13,Scraping Sandbox,2026-09-03
14,Professional Aquarium Plant,71.68,,,4.6,,TechVault,Pet Supplies,In Stock,SKU-PET-0014,https://scrapingsandbox.com/product/14,Scraping Sandbox,2026-09-03
15,Vintage Stuffed Animal,124.84,,,5.0,,HomeNest,Toys,In Stock,SKU-TOY-0015,https://scrapingsandbox.com/product/15,Scraping Sandbox,2026-09-03
16,Eco-Friendly Protein Bar,76.27,,,3.9,,UrbanThread,Food & Beverage,In Stock,SKU-FOO-0016,https://scrapingsandbox.com/product/16,Scraping Sandbox,2026-09-03
17,Lightweight Paper Clips,156.17,,,4.3,,UrbanThread,Office Supplies,In Stock,SKU-OFF-0017,https://scrapingsandbox.com/product/17,Scraping Sandbox,2026-09-03
18,Professional Guitar Strings,159.77,,,4.1,,NovaTech,Music,In Stock,SKU-MUS-0018,https://scrapingsandbox.com/product/18,Scraping Sandbox,2026-09-03
